Source: Infinity Nikki Wiki (Fandom) — Outfits
URL: https://infinity-nikki.fandom.com/wiki/
License: Content available under CC-BY-SA unless otherwise noted.
Released in Version 1.0.
Topic: Outfits — the clothing-set category in Infinity Nikki; complete list of outfit sets with rarity, style, labels, and source compendium.

===================================================================
OVERVIEW
===================================================================
Outfits is a clothing category in Infinity Nikki. They are clothing sets comprised of wardrobe items.

Once a suit is completed, the user will receive a gift. Pieces of each outfit can be obtained in multiple ways.

Categories: Terminology, Wardrobe Categories, Released in Version 1.0.

===================================================================
OUTFIT LIST
===================================================================
657 clothing items match the category selection. Columns: Name, Rarity, Style, Labels, Compendium (source).

| Name | Rarity | Style | Labels | Compendium |
| Blooming Dreams | 5 Star | Sweet | Fairy, Fantasy | Exploration Season |
| Blooming Dreams: Blue Mist | 5 Star | Sweet | Fairy, Fantasy | Exploration Season |
| Blooming Dreams: Glow | 5 Star | Sweet | Fairy, Fantasy | Exploration Season |
| Blooming Dreams: Phoenix | 5 Star | Sweet | Fairy, Fantasy | Exploration Season |
| Blooming Dreams: Tides | 5 Star | Sweet | Fairy, Fantasy | Exploration Season |
| Blossoming Future | 4 Star | Sweet | Romance, Fashion | Music Season |
| Blossoming Future: Heart Voice | 4 Star | Sweet | Romance, Fashion | Music Season |
| Blossoming Future: Stellar | 4 Star | Sweet | Romance, Fashion | Music Season |
| Blossoming Stars | 5 Star | Fresh | Romance, Pastoral | Exploration Season |
| Blossoming Stars: Butterfly | 5 Star | Fresh | Pastoral, Romance | Exploration Season |
| Blossoming Stars: Dreamfall | 5 Star | Fresh | Romance, Pastoral | Exploration Season |
| Blossoming Stars: Radiance | 5 Star | Fresh | Romance, Pastoral | Exploration Season |
| Blossoming Stars: Starlight | 5 Star | Fresh | Romance, Pastoral | Exploration Season |
| Born Flawless | 5 Star | Cool | Aesthetic, Fantasy | Terra's Call |
| Born Flawless: Caged Dream | 5 Star | Cool | Aesthetic, Fantasy | Terra's Call |
| Born Flawless: Forest Song | 5 Star | Cool | Aesthetic, Fantasy | Terra's Call |
| Born Flawless: Glowing Embers | 5 Star | Cool | Aesthetic, Fantasy | Terra's Call |
| Born Flawless: Mirrored Self | 5 Star | Cool | Aesthetic, Fantasy | Terra's Call |
| Breezy Tea Time | 4 Star | Elegant | Uniform, Cute | Exploration Season |
| Breezy Tea Time: Gummy | 4 Star | Elegant | Uniform, Cute | Exploration Season |
| Breezy Tea Time: Siesta | 4 Star | Elegant | Uniform, Cute | Exploration Season |
| Bright Days | 3 Star | Fresh | Fashion | Exploration Season |
| Bubble's Hometown | 3 Star | Sweet | Playful | Bubble Season |
| Bubbly Voyage | 4 Star | Sweet | Summer | Exploration Season |
| Bubbly Voyage: Mountgale | 4 Star | Sweet | Summer | Exploration Season |
| Bubbly Voyage: Spring | 4 Star | Sweet | Summer | Exploration Season |
| Burning Heart | 3 Star | Elegant | Classical | Terra's Call |
| Bye-Bye Dust | 4 Star | Sweet | Playful | Exploration Season |
| Bye-Bye Dust: Kitty | 4 Star | Sweet | Playful | Exploration Season |
| Bye-Bye Dust: Spring Purity | 4 Star | Sweet | Playful | Exploration Season |
| Call of the Sea | 3 Star | Sexy | Summer | Terra's Call |
| Carefree Moments | 3 Star | Elegant | Warm | Firework Season |
| Carnival Ode | 3 Star | Cool | Fashion | Exploration Season |
| Celestial Whispers | 4 Star | Fresh | Home, Simple | Bubble Season |
| Celestial Whispers: Cloud Serenade | 4 Star | Fresh | Home, Simple | Bubble Season |
| Celestial Whispers: Night Wander | 4 Star | Fresh | Home, Simple | Bubble Season |
| Cheering Heartbeat | 4 Star | Fresh | Ballroom, Fantasy | Music Season |
| Cheering Heartbeat: Soundwave | 4 Star | Fresh | Ballroom, Fantasy | Music Season |
| Cheering Heartbeat: Star Echo | 4 Star | Fresh | Ballroom, Fantasy | Music Season |
| Chic Elegance | 3 Star | Elegant | Uniform | Exploration Season |
| Childhood Moments | 3 Star | Fresh | Home | Revelry Season |
| Chroma's Mortal Heart | 5 Star | Elegant | Divine, Forest | Chromatic Beings Everbright |
| Chroma's Mortal Heart: Echoes | 5 Star | Elegant | Divine, Forest | Chromatic Beings Everbright |
| Chroma's Mortal Heart: Parting | 5 Star | Elegant | Divine, Forest | Chromatic Beings Everbright |
| Chroma's Mortal Heart: Seared | 5 Star | Elegant | Divine, Forest | Chromatic Beings Everbright |
| Chroma's Mortal Heart: Wanxiang | 5 Star | Elegant | Divine, Forest | Chromatic Beings Everbright |
| Chromatic Comet | 3 Star | Cool | Playful | Where All Souls Return |
| Clearsky Symphony | 3 Star | Fresh | Uniform | Until Tide Ends |
| Cloud Daydreams | 4 Star | Fresh | Fantasy, Playful | Playful Season |
| Cloud Daydreams: Jade Glint | 4 Star | Fresh | Fantasy, Playful | Playful Season |
| Cloud Daydreams: Night Wander | 4 Star | Fresh | Fantasy, Playful | Playful Season |
| Cloud Reverie | 4 Star | Fresh | Adventure, Playful | Golden Season |
| Cloud Reverie: Misty Rain | 4 Star | Fresh | Adventure, Playful | Golden Season |
| Cloud Reverie: Sun | 4 Star | Fresh | Adventure, Playful | Golden Season |
| Clouded Loong | 5 Star | Cool | Linlang, Royal | Danqing Season |
| Clouded Loong: Eye-Dotting | 5 Star | Cool | Linlang, Royal | Danqing Season |
| Clouded Loong: Misty Celadon | 5 Star | Cool | Linlang, Royal | Danqing Season |
| Clouded Loong: Red Ribbons | 5 Star | Cool | Linlang, Royal | Danqing Season |
| Clouded Loong: Spring Stream | 5 Star | Cool | Linlang, Royal | Danqing Season |
| Contrarian March | 3 Star | Cool | Trendy | The Forest Need Not Listen |
| Counterflow Concerto | 4 Star | Cool | Adventure, Fashion | Music Season |
| Counterflow Concerto: Break | 4 Star | Cool | Adventure, Fashion | Music Season |
| Counterflow Concerto: Runaway | 4 Star | Cool | Adventure, Fashion | Music Season |
| Courtyard Flowers | 4 Star | Sweet | Cute, Romance | Golden Season |
| Courtyard Flowers: Growth | 4 Star | Sweet | Cute, Romance | Golden Season |
| Courtyard Flowers: Tangled Dreams | 4 Star | Sweet | Cute, Romance | Golden Season |
| Covenant of Time | 4 Star | Sweet | Whimsy, Retro | The Forest Need Not Listen |
| Covenant of Time: Fable | 4 Star | Sweet | Whimsy, Retro | The Forest Need Not Listen |
| Covenant of Time: Heart Tide | 4 Star | Sweet | Whimsy, Retro | The Forest Need Not Listen |
| Cozy Adventure | 3 Star | Cool | Trendy | Exploration Season |
| Crimson Feather | 5 Star | Cool | Ballroom, Trendy | Bubble Season |
| Crimson Feather: Blaze | 5 Star | Cool | Ballroom, Trendy | Bubble Season |
| Crimson Feather: Ember | 5 Star | Cool | Ballroom, Trendy | Bubble Season |
| Crimson Feather: Icy | 5 Star | Cool | Ballroom, Trendy | Bubble Season |
| Crimson Feather: Rebirth | 5 Star | Cool | Ballroom, Trendy | Bubble Season |
| Crimson Rhapsody | 5 Star | Elegant | Playful, Royal | Revelry Season |
| Crimson Rhapsody: Delusion | 5 Star | Elegant | Playful, Royal | Revelry Season |
| Crimson Rhapsody: Dreamlike | 5 Star | Elegant | Playful, Royal | Revelry Season |
| Crimson Rhapsody: Leafy | 5 Star | Elegant | Playful, Royal | Revelry Season |
| Crimson Rhapsody: Past Dreams | 5 Star | Elegant | Playful, Royal | Revelry Season |
| Crystal Poems | 5 Star | Sweet | Summer, Cute | Exploration Season |
| Crystal Poems: Blazing | 5 Star | Sweet | Summer, Cute | Exploration Season |
| Crystal Poems: Snow | 5 Star | Sweet | Summer, Cute | Exploration Season |
| Crystal Poems: Spring | 5 Star | Sweet | Summer, Cute | Exploration Season |
| Crystal Poems: Spring Snow | 5 Star | Sweet | Summer, Cute | Exploration Season |
| Curtains & Stars | 4 Star | Sexy | Aesthetic, Fashion | Chromatic Beings Everbright |
| Curtains & Stars: Bloom | 4 Star | Sexy | Aesthetic, Fashion | Chromatic Beings Everbright |
| Curtains & Stars: Linger | 4 Star | Sexy | Aesthetic, Fashion | Chromatic Beings Everbright |
| Daisy Murmurs | 3 Star | Sweet | Pastoral | Golden Season |
| Dance Till Dawn | 5 Star | Fresh | Cute, Fantasy | Firework Season |
| Dance Till Dawn: Boat | 5 Star | Fresh | Cute, Fantasy | Firework Season |
| Dance Till Dawn: Fireworks | 5 Star | Fresh | Cute, Fantasy | Firework Season |
| Dance Till Dawn: Nightlight | 5 Star | Fresh | Cute, Fantasy | Firework Season |
| Dance Till Dawn: Star Melody | 5 Star | Fresh | Cute, Fantasy | Firework Season |
| Dancing in Frost | 4 Star | Cool | Adventure, Fantasy | Golden Season |
| Dancing in Frost: Dream Fulfilled | 4 Star | Cool | Adventure, Fantasy | Golden Season |
| Dancing in Frost: New Life | 4 Star | Cool | Adventure, Fantasy | Golden Season |
| Dancing Pearl | 4 Star | Sweet | Spirited, Cute | Life as a Poem |
| Dancing Pearl: Offering | 4 Star | Sweet | Spirited, Cute | Life as a Poem |
| Dancing Pearl: Silent Life | 4 Star | Sweet | Spirited, Cute | Life as a Poem |
| Danqing Craft | 4 Star | Cool | Linlang, Fantasy | Danqing Season |
| Danqing Craft: Gold Jade | 4 Star | Cool | Linlang, Fantasy | Danqing Season |
| Danqing Craft: Maple | 4 Star | Cool | Linlang, Fantasy | Danqing Season |
| Daughter of the Kingdom | 4 Star | Sexy | Intellectual, Aesthetic | The Forest Need Not Listen |
| Daughter of the Kingdom: Eternal Light | 4 Star | Sexy | Intellectual, Aesthetic | The Forest Need Not Listen |
| Daughter of the Kingdom: Night Traverse | 4 Star | Sexy | Intellectual, Aesthetic | The Forest Need Not Listen |
| Daughter of the Lake | 4 Star | Sexy | Fairy | Shooting Star Season |
| Daughter of the Lake: Radiance | 4 Star | Sexy | Fairy | Shooting Star Season |
| Daughter of the Lake: Star | 4 Star | Sexy | Fairy | Shooting Star Season |
| Deepwood Dream | 4 Star | Fresh | Forest, Spirited | Terra's Call |
| Deepwood Dream: New Voice | 4 Star | Fresh | Forest, Spirited | Terra's Call |
| Deepwood Dream: Twilight Song | 4 Star | Fresh | Forest, Spirited | Terra's Call |
| Departing Blossom | 3 Star | Fresh | Summer | Exploration Season |
| Distant Stars | 4 Star | Sexy | Glow, Ballroom | Where All Souls Return |
| Distant Stars: Brilliance | 4 Star | Sexy | Glow, Ballroom | Where All Souls Return |
| Distant Stars: Wilds | 4 Star | Sexy | Glow, Ballroom | Where All Souls Return |
| Dream Banquet | 4 Star | Fresh | Royal | Eerie Season |
| Dream Banquet: Rebirth | 4 Star | Fresh | Royal | Eerie Season |
| Dream Banquet: Soft Meadow | 4 Star | Fresh | Royal | Eerie Season |
| Dream Chaser | 3 Star | Cool | Adventure | Eerie Season |
| Dream in Glimpses | 4 Star | Elegant | Retro | Eerie Season |
| Dream in Glimpses: Sweetness | 4 Star | Elegant | Retro | Eerie Season |
| Dream in Glimpses: Vesper | 4 Star | Elegant | Retro | Eerie Season |
| Dream-Like Night | 4 Star | Cool | Adventure, Fashion | Encore Season |
| Dream-Like Night: Lost | 4 Star | Cool | Adventure, Fashion | Encore Season |
| Dream-Like Night: Resolve | 4 Star | Cool | Adventure, Fashion | Encore Season |
| Dreamtime Bestowed | 5 Star | Sweet | Whimsy, Glow | Uncrowned Heart |
| Dreamtime Bestowed: Blazing Heart | 5 Star | Sweet | Whimsy, Glow | Uncrowned Heart |
| Dreamtime Bestowed: Bright Ending | 5 Star | Sweet | Whimsy, Glow | Uncrowned Heart |
| Dreamtime Bestowed: Hollow Rumor | 5 Star | Sweet | Whimsy, Glow | Uncrowned Heart |
| Dreamtime Bestowed: Light Pursuer | 5 Star | Sweet | Whimsy, Glow | Uncrowned Heart |
| Dreamy Glimmer | 4 Star | Sexy | Formal | Exploration Season |
| Dreamy Glimmer: Melody | 4 Star | Sexy | Formal | Exploration Season |
| Dreamy Glimmer: Ripples | 4 Star | Sexy | Formal | Exploration Season |
| Dusky Nightvow | 3 Star | Elegant | Classical | Until Tide Ends |
| Echoed Dreams | 5 Star | Sweet | Ballroom, Royal | Music Season |
| Echoed Dreams: Fated | 5 Star | Sweet | Ballroom, Royal | Music Season |
| Echoed Dreams: Future Tone | 5 Star | Sweet | Ballroom, Royal | Music Season |
| Echoed Dreams: Rose Finale | 5 Star | Sweet | Ballroom, Royal | Music Season |
| Echoed Dreams: Threaded Melody | 5 Star | Sweet | Ballroom, Royal | Music Season |
| Echoes Upon the Gale | 4 Star | Elegant | Forest, Fantasy | The Forest Need Not Listen |
| Echoes Upon the Gale: Plaint | 4 Star | Elegant | Forest, Fantasy | The Forest Need Not Listen |
| Echoes Upon the Gale: Yearning | 4 Star | Elegant | Forest, Fantasy | The Forest Need Not Listen |
| Enchanted Encounter | 5 Star | Elegant | Fairy, Ballroom | Playful Season |
| Enchanted Encounter: Dreamtrail | 5 Star | Elegant | Fairy, Ballroom | Playful Season |
| Enchanted Encounter: Emerald Dream | 5 Star | Elegant | Fairy, Ballroom | Playful Season |
| Enchanted Encounter: Gleam | 5 Star | Elegant | Fairy, Ballroom | Playful Season |
| Enchanted Encounter: Snowcrest | 5 Star | Elegant | Fairy, Ballroom | Playful Season |
| Enchanted Writing | 4 Star | Elegant | Fantasy, Retro | Revelry Season |
| Enchanted Writing: Luminous Night | 4 Star | Elegant | Fantasy, Retro | Revelry Season |
| Enchanted Writing: Starlight | 4 Star | Elegant | Fantasy, Retro | Revelry Season |
| Endless Longing | 4 Star | Elegant | Linlang | Firework Season |
| Endless Longing: Dreambound | 4 Star | Elegant | Linlang | Firework Season |
| Endless Longing: Ethereal | 4 Star | Elegant | Linlang | Firework Season |
| Enduring Bond | 4 Star | Cool | Trendy | Firework Season |
| Enduring Bond: Memories | 4 Star | Cool | Trendy | Firework Season |
| Enduring Bond: Reunion | 4 Star | Cool | Trendy | Firework Season |
| Evergreen Vow | 4 Star | Cool | Classical, Adventure | Where All Souls Return |
| Evergreen Vow: Covenant | 4 Star | Cool | Classical, Adventure | Where All Souls Return |
| Evergreen Vow: Glory | 4 Star | Cool | Classical, Adventure | Where All Souls Return |
| Fading Melody | 3 Star | Elegant | Formal | Uncrowned Heart |
| Fairytale Swan | 5 Star | Elegant | Formal, Ballroom | Exploration Season |
| Fairytale Swan: Dream | 5 Star | Elegant | Formal, Ballroom | Exploration Season |
| Fairytale Swan: Mystfire | 5 Star | Elegant | Formal, Ballroom | Exploration Season |
| Fairytale Swan: Truth | 5 Star | Elegant | Formal, Ballroom | Exploration Season |
| Fairytale Swan: Vow | 5 Star | Elegant | Formal, Ballroom | Exploration Season |
| Far and Away | 4 Star | Sweet | Fantasy | Exploration Season |
| Far and Away: Dream Journey | 4 Star | Sweet | Fantasy | Exploration Season |
| Far and Away: Future | 4 Star | Sweet | Fantasy | Exploration Season |
| Feather's Trail | 3 Star | Fresh | Playful | Where All Souls Return |
| Feathery Song | 4 Star | Sexy | Terra, Spirited | Terra's Call |
| Feathery Song: Harmony | 4 Star | Sexy | Terra, Spirited | Terra's Call |
| Feathery Song: New Verse | 4 Star | Sexy | Terra, Spirited | Terra's Call |
| Fiery Glow | 4 Star | Cool | Fantasy | Firework Season |
| Fiery Glow: Lush | 4 Star | Cool | Fantasy | Firework Season |
| Fiery Glow: Wonder | 4 Star | Cool | Fantasy | Firework Season |
| First Love | 3 Star | Sexy | Fashion | Exploration Season |
| Fish Tales | 3 Star | Fresh | Simple | Music Season |
| Flawless Vision | 3 Star | Cool | Uniform | Music Season |
| Floating Blossoms | 3 Star | Fresh | Pastoral | Revelry Season |
| Floating Cloud Dreams | 3 Star | Fresh | Home | Uncrowned Heart |
| Floral Memory | 4 Star | Fresh | Retro | Exploration Season |
| Floral Memory: Breezy | 4 Star | Fresh | Retro | Exploration Season |
| Floral Memory: Gleam | 4 Star | Fresh | Retro | Exploration Season |
| Floral Rebirth | 5 Star | Fresh | Classical, Divine | Where All Souls Return |
| Floral Rebirth: Awakening Hymn | 5 Star | Fresh | Classical, Divine | Where All Souls Return |
| Floral Rebirth: Emerald Reverie | 5 Star | Fresh | Classical, Divine | Where All Souls Return |
| Floral Rebirth: Final Vow | 5 Star | Fresh | Classical, Divine | Where All Souls Return |
| Floral Rebirth: Growth & Decay | 5 Star | Fresh | Classical, Divine | Where All Souls Return |
| Flowing Colors | 4 Star | Fresh | Playful | Exploration Season |
| Flowing Colors: Dreamy | 4 Star | Fresh | Playful | Exploration Season |
| Flowing Colors: Wonderland | 4 Star | Fresh | Playful | Exploration Season |
| Flutter Storm | 5 Star | Sexy | Romance, Ballroom | Exploration Season |
| Flutter Storm: Dream Chant | 5 Star | Sexy | Romance, Ballroom | Exploration Season |
| Flutter Storm: Fire Song | 5 Star | Sexy | Romance, Ballroom | Exploration Season |
| Flutter Storm: Forest Song | 5 Star | Sexy | Romance, Ballroom | Exploration Season |
| Flutter Storm: Withered Song | 5 Star | Sexy | Romance, Ballroom | Exploration Season |
| Forest Folk | 4 Star | Elegant | Forest | Terra's Call |
| Forest Folk: Concealed Night | 4 Star | Elegant | Forest | Terra's Call |
| Forest Folk: Dark Afterglow | 4 Star | Elegant | Forest | Terra's Call |
| Forest Ripple | 5 Star | Fresh | Forest, Fairy | Life as a Poem |
| Forest Ripple: Glimmer | 5 Star | Fresh | Forest, Fairy | Life as a Poem |
| Forest Ripple: Glowlit | 5 Star | Fresh | Forest, Fairy | Life as a Poem |
| Forest Ripple: Mistlit | 5 Star | Fresh | Forest, Fairy | Life as a Poem |
| Forest Ripple: Roaming | 5 Star | Fresh | Forest, Fairy | Life as a Poem |
| Forest's Fluttering | 4 Star | Fresh | Pastoral, Adventure | Exploration Season |
| Forest's Fluttering: Autumn | 4 Star | Fresh | Pastoral, Adventure | Exploration Season |
| Forest's Fluttering: Starry | 4 Star | Fresh | Pastoral, Adventure | Exploration Season |
| Forest's Song | 4 Star | Sweet | Forest, Fantasy | Terra's Call |
| Forest's Song: Dewdrop | 4 Star | Sweet | Forest, Fantasy | Terra's Call |
| Forest's Song: Twilight Silhouette | 4 Star | Sweet | Forest, Fantasy | Terra's Call |
| Forever Bond | 5 Star | Sexy | Linlang, Fantasy | Danqing Season |
| Forever Bond: Among Flora | 5 Star | Sexy | Linlang, Fantasy | Danqing Season |
| Forever Bond: Farewell Prelude | 5 Star | Sexy | Linlang, Fantasy | Danqing Season |
| Forever Bond: Mortal Affairs | 5 Star | Sexy | Linlang, Fantasy | Danqing Season |
| Forever Bond: Spirit Trail | 5 Star | Sexy | Linlang, Fantasy | Danqing Season |
| Forgotten Songs | 4 Star | Cool | Forest, Adventure | Terra's Call |
| Forgotten Songs: Cold Frost | 4 Star | Cool | Forest, Adventure | Terra's Call |
| Forgotten Songs: New Bud | 4 Star | Cool | Forest, Adventure | Terra's Call |
| Formless Truth | 4 Star | Elegant | Divine, Fantasy | Chromatic Beings Everbright |
| Formless Truth: Heartbound | 4 Star | Elegant | Divine, Fantasy | Chromatic Beings Everbright |
| Formless Truth: Tracing | 4 Star | Elegant | Divine, Fantasy | Chromatic Beings Everbright |
| Froggy Fashion | 4 Star | Cool | Trendy | Exploration Season |
| Froggy Fashion: Night | 4 Star | Cool | Trendy | Exploration Season |
| Froggy Fashion: Refreshing | 4 Star | Cool | Trendy | Exploration Season |
| From the Depth | 4 Star | Sexy | Romance, Fantasy | Blue Tears Season |
| From the Depth: Oracle | 4 Star | Sexy | Romance, Fantasy | Blue Tears Season |
| From the Depth: Silenced | 4 Star | Sexy | Romance, Fantasy | Blue Tears Season |
| Fruity Wish | 3 Star | Sweet | Trendy | Revelry Season |
| Fully Charged | 4 Star | Cool | Uniform | Exploration Season |
| Fully Charged: New Light | 4 Star | Cool | Uniform | Exploration Season |
| Fully Charged: Refreshing | 4 Star | Cool | Uniform | Exploration Season |
| Fuzzy Affection | 3 Star | Sweet | Playful | Terra's Call |
| Gift of Renewal | 3 Star | Elegant | Aesthetic | Until Tide Ends |
| Gilded Memories | 4 Star | Elegant | Intellectual, Royal | Blue Tears Season |
| Gilded Memories: Flourishing | 4 Star | Elegant | Intellectual, Royal | Blue Tears Season |
| Gilded Memories: Wandering | 4 Star | Elegant | Intellectual, Royal | Blue Tears Season |
| Gleaming Dance | 4 Star | Fresh | Ballroom, Summer | Shooting Star Season |
| Gleaming Dance: Finale | 4 Star | Fresh | Ballroom, Summer | Shooting Star Season |
| Gleaming Dance: Verdant | 4 Star | Fresh | Ballroom, Summer | Exploration Season |
| Glimmering Forest | 4 Star | Sweet | Cute, Fantasy | Encore Season |
| Glimmering Forest: Dawn Path | 4 Star | Sweet | Cute, Fantasy | Encore Season |
| Glimmering Forest: Twilight Hymn | 4 Star | Sweet | Cute, Fantasy | Encore Season |
| Golden Buds | 4 Star | Elegant | Fairy, Summer | Music Season |
| Golden Buds: Ashes | 4 Star | Elegant | Fairy, Summer | Music Season |
| Golden Buds: Cadenza | 4 Star | Elegant | Fairy, Summer | Music Season |
| Golden Hour | 3 Star | Sweet | Pastoral | Eerie Season |
| Gossamer Moonfairy | 4 Star | Fresh | Linlang, Fairy | Danqing Season |
| Gossamer Moonfairy: Airy | 4 Star | Fresh | Linlang, Fairy | Danqing Season |
| Gossamer Moonfairy: Night Light | 4 Star | Fresh | Linlang, Fairy | Danqing Season |
| Graceful Elegance | 4 Star | Elegant | Royal | Bubble Season |
| Graceful Elegance: Forest Silhouettes | 4 Star | Elegant | Royal | Bubble Season |
| Graceful Elegance: Poised | 4 Star | Elegant | Royal | Bubble Season |
| Grains of Yesterday | 4 Star | Cool | Pastoral, Playful | Golden Season |
| Grains of Yesterday: Distant Song | 4 Star | Cool | Pastoral, Playful | Golden Season |
| Grains of Yesterday: New Bud | 4 Star | Cool | Pastoral, Playful | Golden Season |
| Guard's Resolve | 3 Star | Cool | Uniform | Exploration Season |
| Guardian Floof | 3 Star | Sweet | Spirited | Life as a Poem |
| Guide of No Return | 5 Star | Sexy | Classical, Glow | Where All Souls Return |
| Guide of No Return: Commitment | 5 Star | Sexy | Classical, Glow | Where All Souls Return |
| Guide of No Return: Fate | 5 Star | Sexy | Classical, Glow | Where All Souls Return |
| Guide of No Return: Tranquility | 5 Star | Sexy | Classical, Glow | Where All Souls Return |
| Guide of No Return: Valediction | 5 Star | Sexy | Classical, Glow | Where All Souls Return |
| Guiding Falling Stars | 3 Star | Sweet | Cute | Chromatic Beings Everbright |
| Harvest's Blessing | 4 Star | Sexy | Formal, Romance | Bubble Season |
| Harvest's Blessing: Starlight | 4 Star | Sexy | Formal, Romance | Bubble Season |
| Harvest's Blessing: Wind | 4 Star | Sexy | Formal, Romance | Bubble Season |
| Heart of the Deep Forest | 4 Star | Elegant | Retro, Formal | The Forest Need Not Listen |
| Heart of the Deep Forest: Crescent Moon | 4 Star | Elegant | Retro, Formal | The Forest Need Not Listen |
| Heart of the Deep Forest: Deception | 4 Star | Elegant | Retro, Formal | The Forest Need Not Listen |
| Heartfelt Melody | 3 Star | Sweet | Uniform | Bubble Season |
| Heartlake Ripples | 4 Star | Sexy | Romance, Fantasy | Bubble Season |
| Heartlake Ripples: Nightfall | 4 Star | Sexy | Romance, Fantasy | Bubble Season |
| Heartlake Ripples: Rainbow | 4 Star | Sexy | Romance, Fantasy | Bubble Season |
| Heartward Hues | 4 Star | Sweet | Whimsy, Aesthetic | Where All Souls Return |
| Heartward Hues: Dream Colors | 4 Star | Sweet | Whimsy, Aesthetic | Where All Souls Return |
| Heartward Hues: Rainbow | 4 Star | Sweet | Whimsy, Aesthetic | Where All Souls Return |
| Heroic Legend | 3 Star | Cool | Terra | The Forest Need Not Listen |
| Hidden Light | 3 Star | Sexy | Linlang | Danqing Season |
| Homebound Letters | 3 Star | Sexy | Intellectual | Golden Season |
| Hometown Breeze | 4 Star | Fresh | Pastoral | Exploration Season |
| Hometown Breeze: Hopeful | 4 Star | Fresh | Pastoral | Exploration Season |
| Hometown Breeze: Vigilance | 4 Star | Fresh | Pastoral | Exploration Season |
| Honey Hunt | 4 Star | Fresh | Pastoral | Bubble Season |
| Honey Hunt: Green Fruit | 4 Star | Fresh | Pastoral | Bubble Season |
| Honey Hunt: Nectar | 4 Star | Fresh | Pastoral | Bubble Season |
| Immeasurable Findings | 3 Star | Sweet | Cute | Terra's Call |
| Ingenious Maker | 3 Star | Sweet | Uniform | Uncrowned Heart |
| Jade Dreams | 3 Star | Fresh | Intellectual | Eerie Season |
| Lifetime Yin Yuan | 4 Star | Sexy | Linlang, Romance | Danqing Season |
| Lifetime Yin Yuan: Other Shore | 4 Star | Sexy | Linlang, Romance | Danqing Season |
| Lifetime Yin Yuan: Peachwood Fan | 4 Star | Sexy | Linlang, Romance | Danqing Season |
| Lotus Fate | 3 Star | Sexy | Linlang | Danqing Season |
| Lotus Heart | 4 Star | Fresh | Linlang, Summer | Danqing Season |
| Lotus Heart: Homecoming | 4 Star | Fresh | Linlang, Summer | Danqing Season |
| Lotus Heart: Longing | 4 Star | Fresh | Linlang, Summer | Danqing Season |
| Lotus Whispers | 3 Star | Fresh | Intellectual | Uncrowned Heart |
| Luminous Nightflow | 4 Star | Elegant | Whimsy, Royal | Where All Souls Return |
| Luminous Nightflow: Serene | 4 Star | Elegant | Whimsy, Royal | Where All Souls Return |
